  3881   5 0 1  0.2173538326  0.7169630129    5.28    22.77   -18.35   0.10   0.10   0.15   0.12   0.09 168 -4.67  1    0.0    0  4.4853 0.0004 0.006 0 -0.136 0.004 -0.140   1.25  -3.89   1.23   0.71  -1.13   1.01   4.57  -1.52   0.49   1.00  -3.49   5.38  -0.70  -0.72   1.00
  4427   5 0 1  0.2474368608  1.0597071908    5.94    25.17    -3.92   0.07   0.07   0.12   0.08   0.08 187 -2.71  3    0.0    0  2.1379 0.0008 0.009 2 -0.046 0.003 -0.020   1.05   3.56   1.07  -0.95  -2.17   1.01  -0.65  -1.18  -1.06   1.05  -1.24   1.94  -0.69   3.38   1.00
  4436   1 2 1  0.2476256935  0.6719387630   25.14   153.48    36.49   0.62   0.58   0.86   0.98   0.53 149  0.58  2    3.7    0  3.9034 0.0006 0.006 0  0.130 0.000  0.140   1.15  -0.79   1.35   0.09  -0.15   1.01   0.46  -0.08   0.10   1.02  -0.30   1.79  -0.29  -0.42   1.00
  4463   5 0 1  0.2496131947  0.4087170143   14.20   -43.47   -45.73   0.22   0.14   0.26   0.24   0.12 127  1.56  0    0.0    0  4.5603 0.0005 0.005 0  0.940 0.005  0.940   1.26  -5.35   1.10  -0.46  -0.44   1.01  -1.85   1.75  -0.67   1.21   4.03   1.05   0.81  -6.41   1.00
  4906   5 0 1  0.2746461629  0.1377077463   17.94   -80.17    25.59   0.19   0.17   0.21   0.19   0.14  77 -1.41  0    0.0    0  4.4267 0.0006 0.004 0  0.952 0.029  0.980   1.27  -2.70   1.27  -1.83  -1.03   1.00   1.06  -0.01   0.38   1.10  -0.50   4.83  -0.55  -2.96   1.00
  5165   1 2 1  0.2883508108 -0.8153915713    0.12   -80.81    34.97   8.96   8.86  14.62  13.24   9.51 133  0.04  0   68.6    0  3.4646 0.0004 0.004 0  0.885 0.001  0.900   1.05   0.03   1.03   0.00   0.01   1.01   0.00   0.00   0.01   1.01   0.00   0.01   0.00   0.01   1.00
  5348  15 3 3  0.2983829537 -0.9642216752   10.92    20.87    30.64   0.30   0.30   0.39   0.36   0.38 134 18.87  0    0.0    0  3.9219 0.0013 0.055 1 -0.120 0.220 -0.080   1.01   0.47   1.01   0.43   0.62   1.01   0.49  -0.37  -0.81   1.00  -0.34  -0.17  -0.47   0.08   1.00
  5434  15 3 2  0.3032598396  0.8245253821    4.55     4.05   -12.43   0.52   0.37   0.60   0.52   0.38  97 16.66  0    0.0    0  4.2350 0.0004 0.004 0  0.012 0.015 -0.020   1.14   1.26   1.01  -1.18  -0.32   1.03   1.94  -0.45  -0.40   1.02  -0.10   0.19  -1.51   1.44   1.00
  5447   5 0 1  0.3042543513  0.6217007721   16.52   175.90  -112.20   0.51   0.41   0.56   0.60   0.46  63 18.87  0    0.0    0  2.1741 0.0030 0.016 2  1.576 0.010  1.740   1.15  -1.63   1.14  -2.15   0.16   1.02  -1.91   0.80  -1.09   1.02   1.42  -3.89   0.16  -1.27   1.00
  5586   5 0 1  0.3126747653  0.5251648498   19.32    73.88   -38.30   0.21   0.16   0.24   0.22   0.17  67 -0.38  1    0.0    0  4.6751 0.0005 0.005 0  1.092 0.004  1.050   1.13  -0.84   1.16  -2.11  -0.11   1.05   0.45  -0.35  -1.20   1.00  -0.51  -3.19   0.81  -0.10   1.00
  5737  95 3 1  0.3217079613  0.1322172321   18.76   145.00   -55.69   2.36   1.90   2.76   2.75   2.07  60 48.73  0    0.0    0  5.2849 0.0527 0.080 0  0.320 0.000  0.370   1.19  -1.76   1.09  -0.75   1.30   1.01   1.78  -0.44  -0.32   1.06  -1.25   0.17  -0.27  -1.35   1.00
  5742   5 0 1  0.3217903630  0.4290676311    7.31    17.50   -22.04   0.26   0.17   0.30   0.36   0.16 118  1.99  0    0.0    0  4.8340 0.0006 0.005 0  1.047 0.004  1.020   1.18  -3.76   1.11  -0.59  -1.13   1.01   0.87  -1.22  -0.19   1.13  -2.44   2.33  -0.98  -3.73   1.00
